margWDOW,n,landing,coverage
BDG,33,4754906,0.0606060606060606
BRG,26,280028,0
CRS,7,2516300,0.142857142857143
ERK,99,3263664,0.141414141414141
MNT,12,127220,0.166666666666667
MRO,3,100176,0.666666666666667
OSF,22,1017444,0.0909090909090909
TWL,202,12059738,0.113861386138614
1981,37,331497,0.027027027027027
1982,92,5653794,0.130434782608696
1983,73,6074447,0.136986301369863
Q1,51,2345483,0.137254901960784
Q2,35,2916253,0.0857142857142857
Q3,59,5411701,0.152542372881356
Q4,57,1386301,0.0701754385964912
