margARRA,n,landing,coverage
BDG,1,0,1
BRG,6,0,1
MNT,92,0,1
MRO,66,5603,0.954545454545455
OSF,63,1155,0.984126984126984
HKL,1,0,1
NET,8,0,1
TWL,219,6758,0.981735159817352
1978,57,0,1
1980,61,5257,0.967213114754098
1981,42,0,1
1982,50,1501,0.96
1983,18,0,1
Q1,45,1501,0.955555555555556
Q2,79,1155,0.987341772151899
Q3,59,0,1
Q4,45,4102,0.977777777777778
