margARRA,n,landing,coverage
BDG,1,0,1
BRG,6,0,0.333333333333333
MNT,92,0,0.41304347826087
MRO,66,5603,0.590909090909091
OSF,63,1155,0.682539682539683
HKL,1,0,1
NET,8,0,1
TWL,219,6758,0.520547945205479
1978,57,0,0.315789473684211
1980,61,5257,0.573770491803279
1981,42,0,0.833333333333333
1982,50,1501,0.44
1983,18,0,0.722222222222222
Q1,45,1501,0.244444444444444
Q2,79,1155,0.734177215189873
Q3,59,0,0.372881355932203
Q4,45,4102,0.711111111111111
