margSABL,n,landing,coverage
BRG,6,0,0
MNT,88,4753,0.318181818181818
MRO,64,0,0.53125
OSF,52,0,0.25
HKL,1,0,1
NET,8,0,0
TWL,201,4753,0.368159203980099
1978,57,4753,0.456140350877193
1980,61,0,0.491803278688525
1981,42,0,0.238095238095238
1982,50,0,0.18
Q1,43,4753,0.0232558139534884
Q2,73,0,0.301369863013699
Q3,54,0,0.777777777777778
Q4,40,0,0.25
