margEGLS,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.907975460122699
CRS,50,0,1
ERK,323,0,1
MNT,108,1398,0.990740740740741
MRO,138,0,0.934782608695652
OSF,29,0,0.827586206896552
HKL,110,0,0.927272727272727
NET,6,0,0.833333333333333
TWL,867,1398,0.957324106113033
1978,124,0,0.82258064516129
1979,102,0,1
1980,271,1398,0.996309963099631
1981,237,0,0.949367088607595
1982,249,0,0.955823293172691
Q1,162,0,0.993827160493827
Q2,289,0,0.98961937716263
Q3,340,1398,0.938235294117647
Q4,192,0,0.890625
