species,mad
SNOS,8.51222632022687e-06
MXRF,8.68045299913302e-06
POP,8.878283581773e-06
BLGL,9.18427728583263e-06
BANK,9.19338350605053e-06
YTRK,1.05299673422456e-05
DBRK,1.12506377591096e-05
CWCD,1.14492140532323e-05
WDOW,1.25803451130542e-05
CLPR,1.29310647832195e-05
CNRY,1.51151455295681e-05
BCAC,1.70927127294603e-05
BRNZ,2.11858688069794e-05
