margFLAG,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.95398773006135
CRS,50,1522,0.98
ERK,323,293,0.86687306501548
MNT,108,0,0.981481481481482
MRO,138,2013,0.855072463768116
OSF,29,0,0.862068965517241
HKL,110,1682,0.809090909090909
NET,6,0,1
TWL,867,2146,0.926182237600923
1978,124,0,1
1979,102,0,0.843137254901961
1980,271,331,0.996309963099631
1981,237,1742,0.932489451476793
1982,249,1755,0.791164658634538
Q1,162,526,0.95679012345679
Q2,289,1522,0.996539792387543
Q3,340,599,0.858823529411765
Q4,192,1181,0.848958333333333
