margRDBD,n,landing,coverage
BRG,6,0,1
MNT,88,0,0.602272727272727
MRO,64,2654,0.890625
OSF,52,2783,0.0769230769230769
HKL,1,0,1
NET,8,0,0
TWL,201,5437,0.592039800995025
1978,57,2783,0.491228070175439
1980,61,0,0.590163934426229
1981,42,2654,0.714285714285714
1982,50,0,0.52
Q1,43,0,0.697674418604651
Q2,73,0,0.589041095890411
Q3,54,2783,0.555555555555556
Q4,40,2654,0.425
