"marginalSLGR","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.153374233128834
"CRS",50,0,0.02
"ERK",323,1894,0.371517027863777
"MNT",108,0,0.444444444444444
"MRO",138,0,0.485507246376812
"OSF",29,0,0.379310344827586
"HKL",110,0,0.490909090909091
"NET",6,0,0
"TWL",867,1894,0.280276816608997
"1978",124,0,0.217741935483871
"1979",102,1894,0.294117647058824
"1980",271,0,0.306273062730627
"1981",237,0,0.362869198312236
"1982",249,0,0.285140562248996
"Q1",162,1894,0.253086419753086
"Q2",289,0,0.245674740484429
"Q3",340,0,0.302941176470588
"Q4",192,0,0.427083333333333
