margCMEL,n,landing,coverage
BDG,31,0,0.32258064516129
BRG,420,0,0.333333333333333
CRS,73,0,0.0958904109589041
ERK,533,0,0.305816135084428
MNT,249,0,0.321285140562249
MRO,201,0,0.323383084577114
OSF,65,0,0.338461538461538
HKL,128,0,0.3046875
NET,24,0,0.458333333333333
TWL,1420,0,0.307746478873239
1978,124,0,0.411290322580645
1979,102,0,0.617647058823529
1980,271,0,0.354243542435424
1981,237,0,0.278481012658228
1982,249,0,0.265060240963855
1983,312,0,0.326923076923077
1984,277,0,0.155234657039711
Q1,277,0,0.498194945848375
Q2,441,0,0.251700680272109
Q3,534,0,0.297752808988764
Q4,320,0,0.246875
