margCWCD,n,landing,coverage
BRG,6,0,0.5
MNT,88,371,0.659090909090909
MRO,64,11917,0.9375
OSF,52,21861,0.980769230769231
HKL,1,1490,0
NET,8,0,1
TWL,201,32659,0.81592039800995
1978,57,22066,0.771929824561403
1980,61,1490,0.934426229508197
1981,42,10427,0.976190476190476
1982,50,166,0.6
Q1,43,1695,0.953488372093023
Q2,73,21861,0.712328767123288
Q3,54,0,0.759259259259259
Q4,40,10593,0.95
