margREYE,n,landing,coverage
BDG,9,0,0.222222222222222
BRG,326,0,0.211656441717791
CRS,50,0,0.08
ERK,323,0,0.219814241486068
MNT,108,0,0.481481481481481
MRO,138,0,0.347826086956522
OSF,29,0,0.103448275862069
HKL,110,0,0.445454545454545
NET,6,0,0
TWL,867,0,0.230680507497116
1978,124,0,0.0483870967741935
1979,102,0,0.254901960784314
1980,271,0,0.391143911439114
1981,237,0,0.308016877637131
1982,249,0,0.152610441767068
Q1,162,0,0.234567901234568
Q2,289,0,0.43598615916955
Q3,340,0,0.2
Q4,192,0,0.0885416666666667
