margCLPR,n,landing,coverage
BDG,9,160601,1
BRG,326,5460561,0.895705521472393
CRS,50,18822,1
ERK,323,1278213,0.981424148606811
MNT,108,1573782,0.925925925925926
MRO,138,841860,0.971014492753623
OSF,29,837157,0.931034482758621
HKL,110,597138,0.972727272727273
NET,6,0,1
TWL,867,9573858,0.941176470588235
1978,124,1172492,0.991935483870968
1979,102,2327247,0.872549019607843
1980,271,2560887,0.92619926199262
1981,237,2252765,0.949367088607595
1982,249,1857605,0.967871485943775
Q1,162,2134234,0.944444444444444
Q2,289,2254890,0.951557093425606
Q3,340,3183438,0.944117647058824
Q4,192,2598434,0.9375
