margSBLY,n,landing,coverage
BDG,4,0,0.25
BRG,6,0,1
MNT,95,3173,0.715789473684211
MRO,66,249,0.954545454545455
OSF,63,6694,0.968253968253968
HKL,1,0,1
NET,8,0,1
TWL,225,10116,0.844444444444444
1978,57,3106,0.596491228070175
1980,61,6429,0.983606557377049
1981,42,249,0.976190476190476
1982,50,332,0.86
1983,18,0,1
1984,6,0,0.5
Q1,51,698,0.745098039215686
Q2,79,0,1
Q3,59,332,0.694915254237288
Q4,45,9086,0.911111111111111
