margBRWN,n,landing,coverage
BDG,9,0,1
BRG,326,4315,0.815950920245399
CRS,50,0,0.76
ERK,323,1394,0.910216718266254
MNT,108,0,0.907407407407407
MRO,138,144491,0.927536231884058
OSF,29,35728,0.724137931034483
HKL,110,35728,0.981818181818182
NET,6,0,1
TWL,867,150200,0.853517877739331
1978,124,0,0.82258064516129
1979,102,0,0.990196078431373
1980,271,181604,0.918819188191882
1981,237,2930,0.713080168776371
1982,249,1394,0.93574297188755
Q1,162,0,0.858024691358025
Q2,289,35728,0.889273356401384
Q3,340,4315,0.885294117647059
Q4,192,145885,0.817708333333333
