margSSPN,n,landing,coverage
BDG,9,0,1
BRG,326,5376,0.993865030674847
CRS,50,0,1
ERK,323,250,0.996904024767802
MNT,108,1340,0.981481481481482
MRO,138,17160,0.869565217391304
OSF,29,1189,0.96551724137931
HKL,110,0,0.845454545454545
NET,6,0,1
TWL,867,25315,0.991926182237601
1978,124,250,0.991935483870968
1979,102,0,0.941176470588235
1980,271,6565,0.974169741697417
1981,237,0,1
1982,249,18500,0.959839357429719
Q1,162,1189,0.993827160493827
Q2,289,19275,0.968858131487889
Q3,340,4851,0.997058823529412
Q4,192,0,0.932291666666667
