margYTRK,n,landing,coverage
BRG,6,0,1
MNT,88,184639,0.909090909090909
MRO,64,31279,0.953125
OSF,52,43921,0.903846153846154
HKL,1,0,1
NET,8,157399,0.5
TWL,201,102440,0.940298507462687
1978,57,45369,0.894736842105263
1980,61,20104,0.950819672131147
1981,42,55925,0.904761904761905
1982,50,138441,0.94
Q1,43,189155,0.883720930232558
Q2,73,32405,0.917808219178082
Q3,54,34690,0.944444444444444
Q4,40,3589,0.95
