margYTRK,n,landing,coverage
BRG,6,0,1
MNT,88,184639,0.977272727272727
MRO,64,31279,0.96875
OSF,52,43921,0.961538461538462
HKL,1,0,1
NET,8,157399,0.875
TWL,201,102440,0.975124378109453
1978,57,45369,0.964912280701754
1980,61,20104,1
1981,42,55925,0.928571428571429
1982,50,138441,0.98
Q1,43,189155,0.953488372093023
Q2,73,32405,0.972602739726027
Q3,54,34690,0.962962962962963
Q4,40,3589,1
