"marginalBCAC","n","landing","coverage"
"BDG",9,689945,0.333333333333333
"BRG",326,4401338,0.641104294478528
"CRS",50,570089,0.84
"ERK",323,2934116,0.746130030959752
"MNT",108,2426405,0.601851851851852
"MRO",138,1605793,0.528985507246377
"OSF",29,1665847,0.413793103448276
"HKL",110,906394,0.645454545454546
"NET",6,20053,0.666666666666667
"TWL",867,13367086,0.657439446366782
"1978",124,1320166,0.588709677419355
"1979",102,1408999,0.715686274509804
"1980",271,2700181,0.719557195571956
"1981",237,5193394,0.679324894514768
"1982",249,3670793,0.57429718875502
"Q1",162,3371850,0.672839506172839
"Q2",289,3877067,0.681660899653979
"Q3",340,4274305,0.605882352941176
"Q4",192,2770311,0.692708333333333
