"marginalSBLY","n","landing","coverage"
"BDG",9,6313,0.444444444444444
"BRG",326,387,0.51840490797546
"CRS",50,0,0.68
"ERK",323,0,0.708978328173375
"MNT",108,900,0.518518518518518
"MRO",138,0,0.702898550724638
"OSF",29,0,0.448275862068966
"HKL",110,0,0.754545454545455
"NET",6,0,0.166666666666667
"TWL",867,7600,0.597462514417532
"1978",124,387,0.0806451612903226
"1979",102,0,0.686274509803922
"1980",271,0,0.881918819188192
"1981",237,0,0.485232067510549
"1982",249,7213,0.674698795180723
"Q1",162,0,0.425925925925926
"Q2",289,6588,0.581314878892734
"Q3",340,112,0.679411764705882
"Q4",192,900,0.697916666666667
