margCBZN,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.904907975460123
CRS,50,0,0.58
ERK,323,0,0.823529411764706
MNT,108,0,0.981481481481482
MRO,138,125,0.971014492753623
OSF,29,0,0.96551724137931
HKL,110,125,0.990909090909091
NET,6,0,1
TWL,867,0,0.867358708189158
1978,124,0,0.862903225806452
1979,102,125,0.980392156862745
1980,271,0,0.874538745387454
1981,237,0,1
1982,249,0,0.746987951807229
Q1,162,0,0.993827160493827
Q2,289,125,0.97923875432526
Q3,340,0,0.770588235294118
Q4,192,0,0.838541666666667
