margCBZN,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.297546012269939
CRS,50,0,0.2
ERK,323,0,0.374613003095975
MNT,108,0,0.296296296296296
MRO,138,125,0.326086956521739
OSF,29,0,0.482758620689655
HKL,110,125,0.281818181818182
NET,6,0,0.166666666666667
TWL,867,0,0.340253748558247
1978,124,0,0.161290322580645
1979,102,125,0.764705882352941
1980,271,0,0.22140221402214
1981,237,0,0.367088607594937
1982,249,0,0.329317269076305
Q1,162,0,0.345679012345679
Q2,289,125,0.273356401384083
Q3,340,0,0.367647058823529
Q4,192,0,0.348958333333333
