"marginalRSTN","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,1338,0.598159509202454
"CRS",50,157,0.6
"ERK",323,291,0.65015479876161
"MNT",108,0,0.583333333333333
"MRO",138,0,0.695652173913043
"OSF",29,0,0.689655172413793
"HKL",110,0,0.727272727272727
"NET",6,0,0.166666666666667
"TWL",867,1786,0.620530565167243
"1978",124,47,0.467741935483871
"1979",102,244,0.656862745098039
"1980",271,0,0.693726937269373
"1981",237,0,0.607594936708861
"1982",249,1495,0.650602409638554
"Q1",162,0,0.580246913580247
"Q2",289,1582,0.667820069204152
"Q3",340,204,0.741176470588235
"Q4",192,0,0.416666666666667
