"marginalREX","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.407975460122699
"CRS",50,0,0.1
"ERK",323,0,0.0309597523219814
"MNT",108,0,0.407407407407407
"MRO",138,0,0.384057971014493
"OSF",29,3731,0.206896551724138
"HKL",110,0,0.318181818181818
"NET",6,0,0.666666666666667
"TWL",867,3731,0.244521337946943
"1978",124,0,0.451612903225806
"1979",102,0,0.245098039215686
"1980",271,0,0.232472324723247
"1981",237,0,0.274261603375527
"1982",249,3731,0.168674698795181
"Q1",162,0,0.271604938271605
"Q2",289,3731,0.217993079584775
"Q3",340,0,0.3
"Q4",192,0,0.21875
