"marginalREX","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.996932515337423
"CRS",50,0,0.94
"ERK",323,0,0.857585139318885
"MNT",108,0,1
"MRO",138,0,0.956521739130435
"OSF",29,3731,0.896551724137931
"HKL",110,0,0.963636363636364
"NET",6,0,1
"TWL",867,3731,0.936562860438293
"1978",124,0,0.870967741935484
"1979",102,0,1
"1980",271,0,0.867158671586716
"1981",237,0,0.9957805907173
"1982",249,3731,0.975903614457831
"Q1",162,0,0.969135802469136
"Q2",289,3731,0.889273356401384
"Q3",340,0,0.955882352941177
"Q4",192,0,0.963541666666667
