margBRNZ,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.806748466257669
CRS,50,0,1
ERK,323,0,0.987616099071207
MNT,108,0,0.972222222222222
MRO,138,766,0.898550724637681
OSF,29,0,0.827586206896552
HKL,110,766,0.918181818181818
NET,6,0,0.833333333333333
TWL,867,0,0.908881199538639
1978,124,0,0.991935483870968
1979,102,766,0.980392156862745
1980,271,0,0.841328413284133
1981,237,0,0.869198312236287
1982,249,0,0.951807228915663
Q1,162,0,0.95679012345679
Q2,289,0,0.930795847750865
Q3,340,766,0.85
Q4,192,0,0.942708333333333
