margBCAC,n,landing,coverage
BDG,9,689945,0.333333333333333
BRG,326,4401338,0.653374233128834
CRS,50,570089,0.86
ERK,323,2934116,0.761609907120743
MNT,108,2426405,0.62037037037037
MRO,138,1605793,0.521739130434783
OSF,29,1665847,0.413793103448276
HKL,110,906394,0.627272727272727
NET,6,20053,0.666666666666667
TWL,867,13367086,0.672433679354095
1978,124,1320166,0.588709677419355
1979,102,1408999,0.715686274509804
1980,271,2700181,0.734317343173432
1981,237,5193394,0.69620253164557
1982,249,3670793,0.586345381526104
Q1,162,3371850,0.672839506172839
Q2,289,3877067,0.692041522491349
Q3,340,4274305,0.626470588235294
Q4,192,2770311,0.697916666666667
