margCOPP,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.938650306748466
CRS,50,0,1
ERK,323,6444,0.931888544891641
MNT,108,0,1
MRO,138,2014,0.949275362318841
OSF,29,15228,0.896551724137931
HKL,110,20839,0.972727272727273
NET,6,0,1
TWL,867,2847,0.943483275663206
1978,124,0,0.879032258064516
1979,102,0,1
1980,271,19234,0.977859778597786
1981,237,0,0.890295358649789
1982,249,4452,0.979919678714859
Q1,162,0,0.987654320987654
Q2,289,15228,0.927335640138408
Q3,340,7833,0.917647058823529
Q4,192,625,0.994791666666667
