margRDBD,n,landing,coverage
BDG,4,51591,0.75
BRG,6,0,1
MNT,95,198,0.873684210526316
MRO,77,3695,0.948051948051948
OSF,63,2783,0.984126984126984
HKL,1,0,1
NET,8,0,1
TWL,236,58267,0.923728813559322
1978,57,2783,0.789473684210526
1980,61,0,1
1981,42,2654,0.976190476190476
1982,50,0,1
1983,18,0,1
1984,6,51789,0.666666666666667
1985,11,1041,0.727272727272727
Q1,55,51789,0.963636363636364
Q2,86,1041,0.965116279069767
Q3,59,2783,0.796610169491525
Q4,45,2654,0.977777777777778
