margBANK,n,landing,coverage
BDG,52,0,0.826923076923077
BRG,51,0,0.627450980392157
CRS,22,0,0.454545454545455
ERK,165,0,0.854545454545454
MNT,21,0,0.476190476190476
MRO,6,48,0.833333333333333
OSF,29,3827,0.793103448275862
NET,9,0,1
TWL,337,3875,0.756676557863502
1981,37,0,0.918918918918919
1982,92,0,0.75
1983,73,3827,0.534246575342466
1984,69,48,0.797101449275362
1985,75,0,0.893333333333333
Q1,108,0,0.787037037037037
Q2,79,48,0.69620253164557
Q3,90,0,0.8
Q4,69,3827,0.753623188405797
