margCNRY,n,landing,coverage
BDG,9,66834,0.666666666666667
BRG,326,1975794,0.607361963190184
CRS,50,1398777,0.4
ERK,323,1577283,0.619195046439629
MNT,108,20852,0.972222222222222
MRO,138,100136,0.905797101449275
OSF,29,7637,0.862068965517241
HKL,110,132906,0.872727272727273
NET,6,0,1
TWL,867,5014407,0.665513264129181
1978,124,1259855,0.540322580645161
1979,102,626077,0.725490196078431
1980,271,615166,0.678966789667897
1981,237,1146147,0.746835443037975
1982,249,1500068,0.710843373493976
Q1,162,848186,0.790123456790123
Q2,289,1937730,0.674740484429066
Q3,340,1978133,0.626470588235294
Q4,192,383264,0.744791666666667
