"marginalGBLC","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,0,0.868098159509202
"CRS",50,0,0.9
"ERK",323,0,0.869969040247678
"MNT",108,0,0.898148148148148
"MRO",138,37006,0.847826086956522
"OSF",29,0,0.793103448275862
"HKL",110,37006,0.927272727272727
"NET",6,0,0.5
"TWL",867,0,0.863898500576701
"1978",124,0,0.870967741935484
"1979",102,372,0.96078431372549
"1980",271,1328,0.797047970479705
"1981",237,0,1
"1982",249,35306,0.783132530120482
"Q1",162,5688,0.919753086419753
"Q2",289,58,0.844290657439446
"Q3",340,30556,0.8
"Q4",192,704,0.984375
