margROSY,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.441717791411043
CRS,50,0,0.64
ERK,323,0,0.541795665634675
MNT,108,0,0.574074074074074
MRO,138,321,0.782608695652174
OSF,29,0,0.586206896551724
HKL,110,321,0.709090909090909
NET,6,0,0.666666666666667
TWL,867,0,0.53517877739331
1978,124,0,0.5
1979,102,0,0.57843137254902
1980,271,60,0.623616236162362
1981,237,136,0.578059071729958
1982,249,125,0.477911646586345
Q1,162,125,0.592592592592593
Q2,289,0,0.42560553633218
Q3,340,60,0.626470588235294
Q4,192,136,0.59375
