margCHNA,n,landing,coverage
BDG,56,0,0.303571428571429
BRG,457,0,0.181619256017505
CRS,82,0,0.109756097560976
ERK,594,0,0.400673400673401
MNT,344,0,0.409883720930233
MRO,266,0,0.296992481203008
OSF,104,0,0.163461538461538
HKL,138,0,0.297101449275362
NET,47,0,0.212765957446809
TWL,1718,0,0.310244470314319
1978,124,0,0.241935483870968
1979,102,0,0.156862745098039
1980,271,0,0.354243542435424
1981,237,0,0.248945147679325
1982,249,0,0.409638554216867
1983,312,0,0.278846153846154
1984,277,0,0.277978339350181
1985,331,0,0.353474320241692
Q1,339,0,0.1976401179941
Q2,531,0,0.310734463276836
Q3,645,0,0.362790697674419
Q4,388,0,0.304123711340206
