margSSPN,n,landing,coverage
BDG,56,7363,0.982142857142857
BRG,457,5425,0.993435448577681
CRS,82,302,0.975609756097561
ERK,594,384,0.994949494949495
MNT,344,1406,0.988372093023256
MRO,266,35015,0.93609022556391
OSF,104,1662,0.980769230769231
HKL,138,0,1
NET,47,0,1
TWL,1718,51557,0.981373690337602
1978,124,250,0.991935483870968
1979,102,0,1
1980,271,6565,0.988929889298893
1981,237,0,1
1982,249,18500,0.987951807228916
1983,312,3471,0.990384615384615
1984,277,17289,0.96028880866426
1985,331,5482,0.966767371601209
Q1,339,13834,0.979351032448378
Q2,531,22083,0.984934086629002
Q3,645,15467,0.97984496124031
Q4,388,173,0.989690721649485
