"marginalYMTH","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,1535,0.47239263803681
"CRS",50,0,0.08
"ERK",323,0,0.572755417956656
"MNT",108,0,0.305555555555556
"MRO",138,0,0.282608695652174
"OSF",29,0,0.448275862068966
"HKL",110,0,0.245454545454545
"NET",6,0,0.166666666666667
"TWL",867,1535,0.462514417531719
"1978",124,0,0.274193548387097
"1979",102,1535,0.166666666666667
"1980",271,0,0.523985239852399
"1981",237,0,0.476793248945148
"1982",249,0,0.493975903614458
"Q1",162,0,0.475308641975309
"Q2",289,0,0.42560553633218
"Q3",340,0,0.4
"Q4",192,1535,0.484375
