margARRA,n,landing,coverage
BDG,31,0,1
BRG,420,8779,0.969047619047619
CRS,73,55612,0.849315068493151
ERK,533,32238,0.954971857410882
MNT,249,7261,0.967871485943775
MRO,201,220,0.980099502487562
OSF,65,0,1
HKL,128,0,1
NET,24,0,1
TWL,1420,104110,0.957746478873239
1978,124,224,0.991935483870968
1979,102,363,0.990196078431373
1980,271,5005,0.981549815498155
1981,237,11213,0.983122362869198
1982,249,17469,0.943775100401606
1983,312,59193,0.92948717948718
1984,277,10643,0.953068592057762
Q1,277,8460,0.971119133574007
Q2,441,22789,0.970521541950113
Q3,534,19064,0.956928838951311
Q4,320,53797,0.95
