species,mad
RDBD,3.06423110812638e-05
BRWN,3.15769347284798e-05
GSRK,3.17292122159595e-05
GBLC,3.17443401712525e-05
SPKL,3.45526759579048e-05
ARRA,3.57593609467607e-05
SNOS,3.58453402514779e-05
BLGL,3.7241439506331e-05
VRML,3.73638653425257e-05
SBLY,3.9680418055841e-05
BLUR,4.0793909251435e-05
OLVE,4.20672299837223e-05
CLPR,4.42753214883291e-05
TIGR,4.44330751748494e-05
DBRK,4.57243720087317e-05
FLAG,4.69384775777659e-05
GSPT,4.71828176144025e-05
YTRK,4.8511564578399e-05
STRK,5.03340074475209e-05
CNRY,5.07297338846685e-05
CWCD,5.22645531915879e-05
WDOW,5.25587636758806e-05
PNKR,6.17065418961613e-05
BANK,6.77549526686767e-05
BCAC,7.35469059173846e-05
KLPG,9.57685022123782e-05
