margCLPR,n,landing,coverage
BDG,4,30105,1
BRG,6,317971,1
MNT,95,2088610,0.968421052631579
MRO,77,1598865,0.935064935064935
OSF,63,2295608,0.936507936507937
HKL,1,0,1
NET,8,0,1
TWL,236,6331159,0.949152542372881
1978,57,856923,0.982456140350877
1980,61,2760555,0.901639344262295
1981,42,1498391,0.952380952380952
1982,50,1066903,0.96
1983,18,99835,0.944444444444444
1984,6,14864,1
1985,11,33688,1
Q1,55,1373037,0.945454545454545
Q2,86,1918161,0.976744186046512
Q3,59,1639952,0.949152542372881
Q4,45,1400009,0.911111111111111
