margCLPR,n,landing,coverage
BDG,4,30105,0.75
BRG,6,317971,0.666666666666667
MNT,95,2088610,0.673684210526316
MRO,77,1598865,0.714285714285714
OSF,63,2295608,0.714285714285714
HKL,1,0,1
NET,8,0,1
TWL,236,6331159,0.686440677966102
1978,57,856923,0.771929824561403
1980,61,2760555,0.655737704918033
1981,42,1498391,0.666666666666667
1982,50,1066903,0.72
1983,18,99835,0.666666666666667
1984,6,14864,0.833333333333333
1985,11,33688,0.545454545454545
Q1,55,1373037,0.727272727272727
Q2,86,1918161,0.686046511627907
Q3,59,1639952,0.745762711864407
Q4,45,1400009,0.622222222222222
