"marginalSWSP","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,0,0.0828220858895705
"CRS",50,0,0.16
"ERK",323,0,0.455108359133127
"MNT",108,0,0.157407407407407
"MRO",138,0,0.318840579710145
"OSF",29,0,0.275862068965517
"HKL",110,0,0.290909090909091
"NET",6,0,0
"TWL",867,0,0.25836216839677
"1978",124,0,0.120967741935484
"1979",102,0,0.0686274509803922
"1980",271,0,0.206642066420664
"1981",237,0,0.324894514767932
"1982",249,0,0.405622489959839
"Q1",162,0,0.135802469135802
"Q2",289,0,0.145328719723183
"Q3",340,0,0.323529411764706
"Q4",192,0,0.427083333333333
