"marginalGRAS","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.174846625766871
"CRS",50,0,0
"ERK",323,1251,0.0743034055727554
"MNT",108,0,0.25
"MRO",138,0,0.202898550724638
"OSF",29,0,0.413793103448276
"HKL",110,0,0.163636363636364
"NET",6,0,0.666666666666667
"TWL",867,1251,0.149942329873126
"1978",124,0,0.0483870967741935
"1979",102,0,0.333333333333333
"1980",271,0,0.228782287822878
"1981",237,0,0.080168776371308
"1982",249,1251,0.124497991967871
"Q1",162,0,0.0493827160493827
"Q2",289,1251,0.207612456747405
"Q3",340,0,0.108823529411765
"Q4",192,0,0.244791666666667
