margBLUR,n,landing,coverage
BDG,56,0,1
BRG,457,0,0.99781181619256
CRS,82,0,0.98780487804878
ERK,594,0,0.98989898989899
MNT,344,0,0.994186046511628
MRO,266,0,0.973684210526316
OSF,104,0,0.980769230769231
HKL,138,0,0.898550724637681
NET,47,0,0.936170212765957
TWL,1718,0,0.9988358556461
1978,124,0,1
1979,102,0,0.950980392156863
1980,271,0,0.992619926199262
1981,237,0,0.9957805907173
1982,249,0,0.987951807228916
1983,312,0,0.990384615384615
1984,277,0,0.996389891696751
1985,331,0,0.987915407854985
Q1,339,0,0.994100294985251
Q2,531,0,0.992467043314501
Q3,645,0,0.989147286821705
Q4,388,0,0.984536082474227
