margGSRK,n,landing,coverage
BDG,1,0,1
BRG,6,22139,1
MNT,92,2153,1
MRO,66,14497,0.984848484848485
OSF,63,10207,0.984126984126984
HKL,1,0,1
NET,8,0,1
TWL,219,48996,0.990867579908676
1978,57,1646,1
1980,61,44261,0.967213114754098
1981,42,580,1
1982,50,2509,1
1983,18,0,1
Q1,45,3100,1
Q2,79,23297,0.987341772151899
Q3,59,22599,0.983050847457627
Q4,45,0,1
