"marginalGSRK","n","landing","coverage"
"BDG",27,0,0.666666666666667
"BRG",12,0,0.583333333333333
"CRS",3,0,1
"ERK",55,0,0.363636363636364
"MNT",11,0,0.727272727272727
"MRO",1,0,1
"OSF",20,0,0.45
"TWL",129,0,0.511627906976744
"1981",37,0,0.648648648648649
"1982",92,0,0.456521739130435
"Q1",33,0,0.636363636363636
"Q2",13,0,0.846153846153846
"Q3",37,0,0.243243243243243
"Q4",46,0,0.543478260869565
