margARRA,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,674,0.978947368421053
MRO,66,5603,0.954545454545455
OSF,63,1155,0.984126984126984
HKL,1,0,1
NET,8,0,1
TWL,225,7432,0.973333333333333
1978,57,0,1
1980,61,5257,0.967213114754098
1981,42,0,1
1982,50,1501,0.96
1983,18,0,1
1984,6,674,0.666666666666667
Q1,51,2175,0.92156862745098
Q2,79,1155,0.987341772151899
Q3,59,0,1
Q4,45,4102,0.977777777777778
