margARRA,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,674,0.642105263157895
MRO,66,5603,0.924242424242424
OSF,63,1155,0.984126984126984
HKL,1,0,1
NET,8,0,1
TWL,225,7432,0.822222222222222
1978,57,0,0.807017543859649
1980,61,5257,0.967213114754098
1981,42,0,1
1982,50,1501,0.5
1983,18,0,1
1984,6,674,0.666666666666667
Q1,51,2175,0.843137254901961
Q2,79,1155,0.772151898734177
Q3,59,0,0.779661016949153
Q4,45,4102,0.977777777777778
