margGSRK,n,landing,coverage
BDG,27,0,0.666666666666667
BRG,12,0,0.75
CRS,3,0,1
ERK,55,0,0.509090909090909
MNT,11,0,0.181818181818182
MRO,1,0,1
OSF,20,0,0.75
TWL,129,0,0.589147286821705
1981,37,0,0.810810810810811
1982,92,0,0.5
Q1,33,0,0.666666666666667
Q2,13,0,0.153846153846154
Q3,37,0,0.324324324324324
Q4,46,0,0.869565217391304
