margYTRK,n,landing,coverage
BRG,6,0,1
MNT,88,184639,0.954545454545455
MRO,64,31279,0.984375
OSF,52,43921,0.980769230769231
HKL,1,0,1
NET,8,157399,0.5
TWL,201,102440,0.990049751243781
1978,57,45369,0.947368421052632
1980,61,20104,1
1981,42,55925,0.976190476190476
1982,50,138441,0.96
Q1,43,189155,0.953488372093023
Q2,73,32405,0.945205479452055
Q3,54,34690,1
Q4,40,3589,1
