margGRAS,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.180981595092025
CRS,50,0,0.5
ERK,323,1251,0.247678018575851
MNT,108,0,0.185185185185185
MRO,138,0,0.101449275362319
OSF,29,0,0.206896551724138
HKL,110,0,0.0818181818181818
NET,6,0,0.666666666666667
TWL,867,1251,0.224913494809689
1978,124,0,0.330645161290323
1979,102,0,0.401960784313726
1980,271,0,0.173431734317343
1981,237,0,0.0675105485232067
1982,249,1251,0.253012048192771
Q1,162,0,0.222222222222222
Q2,289,1251,0.307958477508651
Q3,340,0,0.182352941176471
Q4,192,0,0.109375
