margREYE,n,landing,coverage
BDG,12,0,0.0833333333333333
BRG,401,0,0.241895261845387
CRS,60,0,0.0333333333333333
ERK,459,0,0.276688453159041
MNT,163,0,0.214723926380368
MRO,164,0,0.213414634146341
OSF,36,0,0.194444444444444
HKL,124,0,0.201612903225806
NET,14,0,0
TWL,1157,0,0.24114088159032
1978,124,0,0.540322580645161
1979,102,0,0.264705882352941
1980,271,0,0.0922509225092251
1981,237,0,0.168776371308017
1982,249,0,0.192771084337349
1983,312,0,0.310897435897436
Q1,228,0,0.144736842105263
Q2,390,0,0.18974358974359
Q3,437,0,0.267734553775744
Q4,240,0,0.333333333333333
