"species","mad"
"REDS",8.51096846156371e-06
"SBLY",8.54556490415711e-06
"ROSY",8.61776583433784e-06
"ARRA",8.62266804917412e-06
"GSPT",8.63465827653299e-06
"SNOS",8.6401236358211e-06
"FLAG",8.6919624625024e-06
"GSRK",8.70581316460942e-06
"RSTN",8.79797937345061e-06
"STRK",8.98150555360245e-06
"LSPN",9.03448790513499e-06
"BLGL",9.18427728583263e-06
"URCK",9.23819238186145e-06
"COPP",9.24483305126209e-06
"BRWN",9.29339862678442e-06
"STAR",9.30403554246238e-06
"GBLC",9.38305886062822e-06
"SSPN",9.56850953462211e-06
"RDBD",9.63609295551776e-06
"POP",9.8147744456936e-06
"YTRK",9.83337179657847e-06
"BANK",1.01364363565116e-05
"OLVE",1.04890252222816e-05
"TIGR",1.06349862815454e-05
"QLBK",1.09709479767342e-05
"DBRK",1.12703801928095e-05
"SHRP",1.17989083262045e-05
"CWCD",1.18746160523603e-05
"CLPR",1.19435209201611e-05
"BLUR",1.19623399255512e-05
"SWSP",1.20195922041719e-05
"BLCK",1.21847731543313e-05
"WDOW",1.28451057588294e-05
"VRML",1.32311358320418e-05
"YEYE",1.37609134328513e-05
"GRAS",1.38718789742321e-05
"SLGR",1.45514419998678e-05
"MXRF",1.50583171967084e-05
"EGLS",1.57460099829209e-05
"CBZN",1.63476586521888e-05
"REYE",1.83106387249484e-05
"BCAC",1.89315153566063e-05
"CNRY",2.08956085986759e-05
"LCOD",2.30234155071959e-05
"REX",2.56477783816326e-05
"YMTH",2.79748621377519e-05
"BRNZ",2.9244587999326e-05
"SPKL",3.22517535312118e-05
