margSTRK,n,landing,coverage
BDG,4,0,1
BRG,6,25251,0.833333333333333
MNT,95,1850,1
MRO,66,1439,0.984848484848485
OSF,63,39177,0.920634920634921
HKL,1,0,1
NET,8,0,1
TWL,225,67717,0.968888888888889
1978,57,1241,1
1980,61,37899,0.934426229508197
1981,42,15416,0.976190476190476
1982,50,13161,0.96
1983,18,0,1
1984,6,0,1
Q1,51,0,1
Q2,79,24370,0.962025316455696
Q3,59,26690,0.949152542372881
Q4,45,16657,0.977777777777778
