margCBZN,n,landing,coverage
BDG,56,0,0.821428571428571
BRG,457,0,0.87964989059081
CRS,82,0,0.951219512195122
ERK,594,0,0.85016835016835
MNT,344,0,0.813953488372093
MRO,266,125,0.954887218045113
OSF,104,0,0.951923076923077
HKL,138,125,0.956521739130435
NET,47,0,0.872340425531915
TWL,1718,0,0.867869615832363
1978,124,0,1
1979,102,125,0.823529411764706
1980,271,0,0.92619926199262
1981,237,0,0.873417721518987
1982,249,0,0.971887550200803
1983,312,0,0.814102564102564
1984,277,0,0.725631768953069
1985,331,0,0.909365558912387
Q1,339,0,0.902654867256637
Q2,531,125,0.924670433145009
Q3,645,0,0.817054263565892
Q4,388,0,0.876288659793814
