margCBZN,n,landing,coverage
BDG,56,0,0
BRG,457,0,0.102844638949672
CRS,82,0,0.48780487804878
ERK,594,0,0.063973063973064
MNT,344,0,0.171511627906977
MRO,266,125,0.281954887218045
OSF,104,0,0.240384615384615
HKL,138,125,0.260869565217391
NET,47,0,0.404255319148936
TWL,1718,0,0.133294528521537
1978,124,0,0.0241935483870968
1979,102,125,0.0882352941176471
1980,271,0,0.22140221402214
1981,237,0,0.122362869198312
1982,249,0,0.100401606425703
1983,312,0,0.166666666666667
1984,277,0,0.126353790613718
1985,331,0,0.214501510574018
Q1,339,0,0.174041297935103
Q2,531,125,0.152542372881356
Q3,645,0,0.0945736434108527
Q4,388,0,0.213917525773196
