margGRAS,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.334355828220859
CRS,50,0,0.04
ERK,323,1251,0.312693498452012
MNT,108,0,0.398148148148148
MRO,138,0,0.333333333333333
OSF,29,0,0.103448275862069
HKL,110,0,0.309090909090909
NET,6,0,0
TWL,867,1251,0.311418685121107
1978,124,0,0.32258064516129
1979,102,0,0.343137254901961
1980,271,0,0.302583025830258
1981,237,0,0.392405063291139
1982,249,1251,0.216867469879518
Q1,162,0,0.469135802469136
Q2,289,1251,0.408304498269896
Q3,340,0,0.173529411764706
Q4,192,0,0.265625
