"marginalMXRF","n","landing","coverage"
"BDG",9,0,0.777777777777778
"BRG",326,15828,0.288343558282209
"CRS",50,0,0
"ERK",323,0,0.0990712074303406
"MNT",108,0,0.398148148148148
"MRO",138,0,0.398550724637681
"OSF",29,0,0.379310344827586
"HKL",110,0,0.381818181818182
"NET",6,0,0.166666666666667
"TWL",867,15828,0.229527104959631
"1978",124,0,0.153225806451613
"1979",102,0,0.5
"1980",271,15828,0.291512915129151
"1981",237,0,0.291139240506329
"1982",249,0,0.0963855421686747
"Q1",162,0,0.216049382716049
"Q2",289,6676,0.328719723183391
"Q3",340,9152,0.167647058823529
"Q4",192,0,0.286458333333333
