margBLGL,n,landing,coverage
BDG,4,15175,1
BRG,6,0,1
MNT,95,36565,0.947368421052632
MRO,77,46276,0.935064935064935
OSF,63,2956,0.984126984126984
HKL,1,0,1
NET,8,0,1
TWL,236,100972,0.953389830508475
1978,57,27793,0.982456140350877
1980,61,23574,0.983606557377049
1981,42,10625,1
1982,50,15877,0.96
1983,18,1863,0.944444444444444
1984,6,18174,0.5
1985,11,3066,0.727272727272727
Q1,55,27394,0.927272727272727
Q2,86,37747,0.930232558139535
Q3,59,1632,1
Q4,45,34199,0.977777777777778
