margBLGL,n,landing,coverage
BDG,4,15175,0.75
BRG,6,0,1
MNT,95,36565,0.91578947368421
MRO,77,46276,0.909090909090909
OSF,63,2956,0.968253968253968
HKL,1,0,1
NET,8,0,1
TWL,236,100972,0.923728813559322
1978,57,27793,0.964912280701754
1980,61,23574,0.983606557377049
1981,42,10625,0.976190476190476
1982,50,15877,0.9
1983,18,1863,0.944444444444444
1984,6,18174,0.333333333333333
1985,11,3066,0.636363636363636
Q1,55,27394,0.890909090909091
Q2,86,37747,0.895348837209302
Q3,59,1632,0.983050847457627
Q4,45,34199,0.955555555555556
