"marginalEGLS","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.340490797546012
"CRS",50,0,0.56
"ERK",323,0,0.260061919504644
"MNT",108,1398,0.148148148148148
"MRO",138,0,0.27536231884058
"OSF",29,0,0.517241379310345
"HKL",110,0,0.318181818181818
"NET",6,0,0.166666666666667
"TWL",867,1398,0.299884659746251
"1978",124,0,0.17741935483871
"1979",102,0,0.46078431372549
"1980",271,1398,0.154981549815498
"1981",237,0,0.468354430379747
"1982",249,0,0.29718875502008
"Q1",162,0,0.506172839506173
"Q2",289,0,0.110726643598616
"Q3",340,1398,0.288235294117647
"Q4",192,0,0.4375
