margFLAG,n,landing,coverage
BRG,6,0,0.666666666666667
MNT,88,0,0.420454545454545
MRO,64,0,0.265625
OSF,52,20292,0.596153846153846
HKL,1,0,0
NET,8,0,0
TWL,201,20292,0.442786069651741
1978,57,0,0.350877192982456
1980,61,0,0.409836065573771
1981,42,0,0.404761904761905
1982,50,20292,0.54
Q1,43,0,0.372093023255814
Q2,73,0,0.589041095890411
Q3,54,20292,0.462962962962963
Q4,40,0,0.125
