"marginalRDBD","n","landing","coverage"
"BRG",6,0,0.5
"MNT",88,0,0.511363636363636
"MRO",64,2654,0.34375
"OSF",52,2783,0.442307692307692
"HKL",1,0,1
"NET",8,0,0.75
"TWL",201,5437,0.427860696517413
"1978",57,2783,0.456140350877193
"1980",61,0,0.426229508196721
"1981",42,2654,0.428571428571429
"1982",50,0,0.46
"Q1",43,0,0.488372093023256
"Q2",73,0,0.479452054794521
"Q3",54,2783,0.0925925925925926
"Q4",40,2654,0.8
