margQLBK,n,landing,coverage
BDG,31,0,0.548387096774194
BRG,420,232,0.233333333333333
CRS,73,0,0.287671232876712
ERK,533,3180,0.210131332082552
MNT,249,0,0.172690763052209
MRO,201,0,0.45273631840796
OSF,65,0,0.307692307692308
HKL,128,3180,0.546875
NET,24,0,0.666666666666667
TWL,1420,232,0.222535211267606
1978,124,232,0.137096774193548
1979,102,0,0.186274509803922
1980,271,0,0.380073800738007
1981,237,0,0.227848101265823
1982,249,0,0.417670682730924
1983,312,0,0.179487179487179
1984,277,3180,0.176895306859206
Q1,277,232,0.303249097472924
Q2,441,0,0.283446712018141
Q3,534,3180,0.209737827715356
Q4,320,0,0.253125
