"marginalARRA","n","landing","coverage"
"BRG",6,0,0.333333333333333
"MNT",88,0,0.136363636363636
"MRO",64,5603,0.875
"OSF",52,1155,0.557692307692308
"HKL",1,0,1
"NET",8,0,0
"TWL",201,6758,0.487562189054726
"1978",57,0,0.368421052631579
"1980",61,5257,0.295081967213115
"1981",42,0,0.857142857142857
"1982",50,1501,0.48
"Q1",43,1501,0.558139534883721
"Q2",73,1155,0.328767123287671
"Q3",54,0,0.481481481481481
"Q4",40,4102,0.625
